Date,EMA_12,EMA_26,MACD,Signal_Line
2017-10-02,16.94100259,17.08987211,-0.14886952,-0.030902311
2017-10-03,16.88561748,17.05217783,-0.166560353,-0.05803392
2017-10-04,16.83598398,17.01594241,-0.179958438,-0.082418823
2017-10-05,16.79690963,16.98379859,-0.186888955,-0.10331285
2017-10-06,16.78723111,16.96529493,-0.17806382,-0.118263044
2017-10-09,16.80704177,16.96164348,-0.154601716,-0.125530778
2017-10-10,16.86057391,16.97596624,-0.115392331,-0.123503089
2017-10-11,16.89448552,16.98374647,-0.089260953,-0.116654662
2017-10-12,16.94318012,17.0005801,-0.057399976,-0.104803725
2017-10-13,17.00653696,17.02683339,-0.020296435,-0.087902267
2017-10-16,17.05399289,17.0481791,0.005813786,-0.069159056
2017-10-17,17.04368622,17.04364728,3.89e-05,-0.055319458
2017-10-18,17.02819615,17.03619199,-0.007995836,-0.045854734
2017-10-19,17.05478139,17.0484,0.006381388,-0.035407509
2017-10-20,17.049738,17.0464444,0.003293602,-0.027667287
2017-10-23,17.04577834,17.04478187,0.00099647,-0.021934536
2017-10-24,17.02442776,17.03457577,-0.010148011,-0.019577231
2017-10-25,17.00036195,17.02223683,-0.021874872,-0.020036759
2017-10-26,16.96399857,17.00310817,-0.039109601,-0.023851327
2017-10-27,16.92369104,16.98080383,-0.057112791,-0.03050362
2017-10-30,16.90496935,16.96755911,-0.062589758,-0.036920848
2017-10-31,16.86497414,16.94366588,-0.078691739,-0.045275026
2017-11-01,16.90605503,16.95761655,-0.051561515,-0.046532324
2017-11-02,16.93496962,16.96771902,-0.032749394,-0.043775738
2017-11-03,16.91328209,16.95485099,-0.041568903,-0.043334371
2017-11-06,16.95662326,16.97263978,-0.016016525,-0.037870802
2017-11-07,16.94868132,16.96762948,-0.018948156,-0.034086272
2017-11-08,16.97288433,16.97787921,-0.004994879,-0.028267994
2017-11-09,16.96828687,16.97529563,-0.00700876,-0.024016147
2017-11-10,16.94916579,16.96557001,-0.016404225,-0.022493763
2017-11-13,16.96052501,16.96982414,-0.009299132,-0.019854836
2017-11-14,16.97459809,16.97591124,-0.001313153,-0.0161465
2017-11-15,16.97081389,16.97399195,-0.003178063,-0.013552812
2017-11-16,16.98391941,16.9800666,0.003852803,-0.010071689
2017-11-17,17.04147024,17.00806165,0.033408582,-0.001375635
2017-11-20,17.00847476,16.99464965,0.013825108,0.001664514
2017-11-21,16.99932471,16.99126815,0.008056553,0.002942922
2017-11-22,17.01496703,16.99939643,0.015570608,0.005468459
2017-11-24,17.00974148,16.9980338,0.01170768,0.006716303
2017-11-27,17.00962752,16.99884616,0.010781358,0.007529314
2017-11-28,16.97906957,16.98493169,-0.005862126,0.004851026
2017-11-29,16.89875129,16.9458257,-0.047074412,-0.005534062
2017-11-30,16.81925108,16.90406083,-0.084809745,-0.021389198
2017-12-01,16.7389049,16.85909343,-0.120188526,-0.041149064
2017-12-04,16.66891959,16.81649394,-0.147574351,-0.062434121
2017-12-05,16.56185497,16.75401288,-0.192157905,-0.088378878
2017-12-06,16.45510806,16.6883823,-0.233274238,-0.11735795
2017-12-07,16.3412453,16.61627992,-0.275034611,-0.148893282
2017-12-08,16.24813065,16.551074,-0.302943349,-0.179703296
2017-12-11,16.16334125,16.48780923,-0.324467975,-0.208656232
2017-12-12,16.0739041,16.42071223,-0.346808129,-0.236286611
2017-12-13,16.02930353,16.37354839,-0.344244859,-0.257878261
2017-12-14,16.00171843,16.33476706,-0.333048625,-0.272912333
2017-12-15,15.99806939,16.30833984,-0.31027045,-0.280383957
2017-12-18,16.01682808,16.29438881,-0.277560729,-0.279819311
2017-12-19,16.02439299,16.27747112,-0.25307813,-0.274471075
2017-12-20,16.04956325,16.27084361,-0.221280352,-0.26383293
2017-12-21,16.06532282,16.26204041,-0.196717588,-0.250409862
2017-12-22,16.11019629,16.26907448,-0.158878192,-0.232103528
2017-12-26,16.17324308,16.28766159,-0.114418506,-0.208566523
2017-12-27,16.24182099,16.31220513,-0.070384146,-0.180930048
2017-12-28,16.33261787,16.35070851,-0.01809064,-0.148362166
2017-12-29,16.44452273,16.40324858,0.04127415,-0.110434903
2018-01-02,16.5485962,16.45641538,0.092180827,-0.069911757
2018-01-03,16.6465044,16.51038457,0.13611983,-0.028705439
2018-01-04,16.72996513,16.56065232,0.169312816,0.010898212
2018-01-05,16.80304741,16.60838177,0.194665639,0.047651697
2018-01-08,16.84319383,16.64213121,0.201062628,0.078333883
2018-01-09,16.85747183,16.66389933,0.193572506,0.101381608
2018-01-10,16.87370683,16.68605488,0.187651951,0.118635677
2018-01-11,16.87682872,16.70145816,0.175370563,0.129982654
2018-01-12,16.90639357,16.7286835,0.177710073,0.139528138
2018-01-16,16.93956375,16.75781803,0.181745716,0.147971653
2018-01-17,16.96501541,16.78353518,0.181480228,0.154673368
2018-01-18,16.95393606,16.79164366,0.162292401,0.156197175
2018-01-19,16.95717673,16.80522564,0.151951086,0.155347957
2018-01-22,16.9531495,16.81454224,0.138607259,0.151999817
2018-01-23,16.93804951,16.81753908,0.120510428,0.145701939
2018-01-24,17.01296485,16.86253613,0.150428722,0.146647296
2018-01-25,17.09573958,16.9135335,0.182206084,0.153759054
2018-01-26,17.13977964,16.94823472,0.191544924,0.161316228
2018-01-30,17.12027516,16.95303218,0.167242974,0.162501577
2018-01-31,17.13315597,16.97162242,0.161533549,0.162307971
2018-02-01,17.13082429,16.98246521,0.148359079,0.159518193
2018-02-02,17.06085141,16.95976413,0.101087286,0.147832012
2018-02-05,16.99595119,16.93600382,0.059947369,0.130255083
2018-02-06,16.92703567,16.90726282,0.019772852,0.108158637
2018-02-07,16.81610701,16.85531738,-0.039210368,0.078684836
2018-02-08,16.73885965,16.81521973,-0.076360083,0.047675852
2018-02-09,16.64303497,16.76342562,-0.120390652,0.014062551
2018-02-12,16.62841426,16.74746819,-0.119053937,-0.012560746
2018-02-13,16.60973514,16.72965573,-0.119920597,-0.034032716
2018-02-14,16.6479297,16.7391627,-0.091233001,-0.045472773
2018-02-15,16.66778673,16.74196549,-0.07417876,-0.051213971
2018-02-16,16.67197334,16.73848655,-0.066513203,-0.054273817
2018-02-20,16.63397733,16.71526526,-0.081287937,-0.059676641
2018-02-21,16.62936545,16.7070234,-0.077657955,-0.063272904
2018-02-22,16.62161699,16.69754022,-0.075923232,-0.06580297
2018-02-23,16.59921435,16.68112982,-0.081915473,-0.06902547
2018-02-26,16.59041211,16.67082389,-0.080411782,-0.071302733
2018-02-27,16.55281035,16.64676292,-0.093952563,-0.075832699
2018-02-28,16.51760867,16.62285451,-0.105245839,-0.081715327
2018-03-01,16.46874591,16.59153201,-0.122786094,-0.08992948
2018-03-02,16.45693888,16.57675187,-0.119812993,-0.095906183
2018-03-05,16.43864049,16.5590665,-0.120426011,-0.100810148
2018-03-06,16.48115736,16.57061714,-0.08945978,-0.098540075
2018-03-07,16.47297923,16.56005287,-0.087073643,-0.096246788
2018-03-08,16.46729024,16.55086383,-0.083573588,-0.093712148
2018-03-09,16.47939936,16.55050351,-0.071104149,-0.089190548
2018-03-12,16.47810726,16.54461441,-0.066507156,-0.08465387
2018-03-13,16.4905523,16.54568001,-0.055127716,-0.078748639
2018-03-14,16.48692872,16.53985179,-0.052923073,-0.073583526
2018-03-15,16.4663244,16.52601097,-0.059686567,-0.070804134
2018-03-16,16.42565906,16.50201013,-0.076351074,-0.071913522
2018-03-19,16.39940369,16.48371302,-0.084309333,-0.074392684
2018-03-20,16.35718774,16.45714169,-0.099953951,-0.079504938
2018-03-21,16.35715891,16.44972381,-0.092564902,-0.082116931
2018-03-22,16.35267279,16.44070717,-0.08803438,-0.08330042
2018-03-23,16.379954,16.4473215,-0.0673675,-0.080113836
2018-03-26,16.4187303,16.46100139,-0.042271083,-0.072545286
2018-03-27,16.42954108,16.46307538,-0.033534307,-0.06474309
2018-03-28,16.39499628,16.44395868,-0.048962399,-0.061586952
2018-03-29,16.36853525,16.42759134,-0.05905609,-0.061080779
2018-04-02,16.40829918,16.44236241,-0.034063229,-0.055677269
2018-04-03,16.39886856,16.43529854,-0.036429981,-0.051827812
2018-04-04,16.36965795,16.41853566,-0.048877703,-0.05123779
2018-04-05,16.36201822,16.4112367,-0.049218475,-0.050833927
2018-04-06,16.35740015,16.40536737,-0.047967219,-0.050260585
2018-04-09,16.37918482,16.41230316,-0.033118333,-0.046832135
2018-04-10,16.40792562,16.42368811,-0.01576249,-0.040618206
2018-04-11,16.45870643,16.44697053,0.011735892,-0.030147386
2018-04-12,16.45629017,16.44667648,0.009613695,-0.02219517
2018-04-13,16.48270711,16.46010787,0.02259924,-0.013236288
2018-04-16,16.51029073,16.47506289,0.035227841,-0.003543462
2018-04-17,16.5505536,16.49705819,0.053495413,0.007864313
2018-04-18,16.6552378,16.55142431,0.103813486,0.027054148
2018-04-19,16.742432,16.60109659,0.141335408,0.0499104
2018-04-20,16.80467313,16.64153384,0.163139298,0.072556179
2018-04-23,16.76872329,16.63630904,0.132414245,0.084527792
2018-04-24,16.75615052,16.64006395,0.116086568,0.090839548
2018-04-25,16.71458891,16.62865181,0.085937099,0.089859058
2018-04-26,16.67972921,16.61823322,0.061495989,0.084186444
2018-04-27,16.63761705,16.60251225,0.035104793,0.074370114
2018-04-30,16.58752216,16.58099285,0.006529311,0.060801953
2018-05-01,16.50313407,16.5408452,-0.037711131,0.041099336
2018-05-02,16.47049811,16.52233817,-0.05184006,0.022511457
2018-05-03,16.45380602,16.51046123,-0.056655214,0.006678123
2018-05-04,16.45075894,16.50479744,-0.054038498,-0.005465201
2018-05-07,16.44494989,16.49799764,-0.053047747,-0.014981711
2018-05-08,16.43618844,16.4898497,-0.053661257,-0.02271762
2018-05-09,16.4395441,16.48749048,-0.047946381,-0.027763372
2018-05-10,16.47653736,16.50175046,-0.025213105,-0.027253319
2018-05-11,16.50722401,16.51465788,-0.007433871,-0.023289429
2018-05-14,16.51688181,16.51875728,-0.001875467,-0.019006637
2018-05-15,16.46720772,16.4947012,-0.027493477,-0.020704005
2018-05-16,16.44102205,16.48005673,-0.039034677,-0.024370139
2018-05-17,16.43671099,16.47508957,-0.038378588,-0.027171829
2018-05-18,16.42906301,16.46856436,-0.039501348,-0.029637733
2018-05-21,16.43259172,16.46733734,-0.034745617,-0.03065931
2018-05-22,16.44419291,16.47034935,-0.026156439,-0.029758736
2018-05-23,16.42785544,16.46054564,-0.032690207,-0.03034503
2018-05-24,16.45757003,16.47243117,-0.014861143,-0.027248252
2018-05-25,16.46117478,16.47306597,-0.011891188,-0.02417684
2018-05-29,16.43714794,16.46061666,-0.023468722,-0.024035216
2018-05-30,16.44358673,16.46197839,-0.018391665,-0.022906506
2018-05-31,16.43718884,16.45753558,-0.020346745,-0.022394554
2018-06-01,16.4296214,16.45238483,-0.022763436,-0.02246833
2018-06-04,16.42183345,16.4469489,-0.025115453,-0.022997755
2018-06-05,16.43247434,16.45021189,-0.017737551,-0.021945714
2018-06-06,16.46470908,16.46441843,0.000290655,-0.01749844
2018-06-07,16.51106165,16.48675786,0.024303788,-0.009137994
2018-06-08,16.53920605,16.50210915,0.0370969,0.000108984
2018-06-11,16.59548215,16.53195296,0.063529181,0.012793024
2018-06-12,16.63448504,16.555438,0.079047036,0.026043826
2018-06-13,16.6834872,16.58488697,0.098600231,0.040555107
2018-06-14,16.76695068,16.63237681,0.134573871,0.05935886
2018-06-15,16.71849668,16.61901554,0.099481138,0.067383315
2018-06-18,16.67134345,16.60368111,0.06766234,0.06743912
2018-06-19,16.61467515,16.58140839,0.033266752,0.060604647
2018-06-20,16.56457121,16.55974848,0.004822729,0.049448263
2018-06-21,16.52479099,16.54095228,-0.016161293,0.036326352
2018-06-22,16.51159225,16.5334002,-0.021807951,0.024699491
2018-06-25,16.48027045,16.51670393,-0.036433479,0.012472897
2018-06-26,16.44299821,16.49605926,-0.053061051,-0.000633893
2018-06-27,16.39622924,16.46961042,-0.073381177,-0.015183349
2018-06-28,16.32773247,16.43119485,-0.10346238,-0.032839156
2018-06-29,16.2933121,16.4069582,-0.113646097,-0.049000544
2018-07-02,16.20880262,16.35785022,-0.149047602,-0.069009955
2018-07-03,16.16929447,16.32778721,-0.158492744,-0.086906513
2018-07-05,16.14447985,16.30409923,-0.159619382,-0.101449087
2018-07-06,16.11932909,16.28016595,-0.160836856,-0.113326641
2018-07-09,16.10912454,16.2633388,-0.154214264,-0.121504165
2018-07-10,16.09279773,16.24405447,-0.15125674,-0.12745468
2018-07-11,16.03729044,16.20612453,-0.168834094,-0.135730563
2018-07-12,16.0158611,16.18330048,-0.167439372,-0.142072325
2018-07-13,15.97326714,16.15038935,-0.177122216,-0.149082303
2018-07-16,15.9366106,16.11961975,-0.183009144,-0.155867671
2018-07-17,15.87651659,16.07712936,-0.200612769,-0.164816691
2018-07-18,15.81905254,16.03460128,-0.215548738,-0.1749631
2018-07-19,15.74535217,15.98314934,-0.23779717,-0.187529914
2018-07-20,15.70606719,15.94661974,-0.240552557,-0.198134443
2018-07-23,15.65405686,15.90375903,-0.24970217,-0.208447988
